Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
4.0,0.0,0.543859649122807,5700.0,115.75,0.0,AGRICOLA
5.0,191.0,2.6527777777777777,7200.0,115.75,0.0,AGRICOLA
6.0,0.0,0.43939393939393934,6600.0,115.75,0.0,AGRICOLA
8.0,12.0,0.19047619047619047,6300.0,115.75,0.0,AGRICOLA
10.0,0.0,0.6166666666666667,6000.0,115.75,0.0,AGRICOLA
11.0,1.0,0.022222222222222223,4500.0,115.75,0.0,AGRICOLA
12.0,0.0,0.5333333333333333,7500.0,115.75,0.0,AGRICOLA
3.0,6.0,0.07142857142857142,8400.0,115.75,0.0,AGRICOLA
3.0,0.0,0.01282051282051282,7800.0,115.75,0.0,AGRICOLA
11.0,130.0,1.6049382716049383,8100.0,115.75,0.0,AGRICOLA
,,,,2.2916666666666665,0.0,AGRICOLA
,,,,40.291666666666664,0.0,AGRICOLA
,,,,110.875,0.0,AGRICOLA
1.0,0.0,0.07407407407407407,5400.0,103.04166666666667,10850.0,AGRICOLA
4.0,210.0,3.1818181818181817,6600.0,103.04166666666667,10850.0,AGRICOLA
4.0,0.0,0.6666666666666667,6000.0,103.04166666666667,10850.0,AGRICOLA
5.0,0.0,0.631578947368421,5700.0,103.04166666666667,10850.0,AGRICOLA
5.0,235.0,3.4057971014492754,6900.0,103.04166666666667,10850.0,AGRICOLA
6.0,0.0,0.6349206349206349,6300.0,103.04166666666667,10850.0,AGRICOLA
12.0,6.0,0.08333333333333334,7200.0,103.04166666666667,10850.0,AGRICOLA
2.0,0.0,0.27999999999999997,7500.0,103.04166666666667,10850.0,AGRICOLA
5.0,45.0,0.576923076923077,7800.0,103.04166666666667,10850.0,AGRICOLA
1.0,0.0,0.6166666666666667,6000.0,70.0,0.0,AGRICOLA
4.0,0.0,0.5238095238095238,6300.0,70.0,0.0,AGRICOLA
5.0,58.0,0.8405797101449276,6900.0,70.0,0.0,AGRICOLA
6.0,0.0,0.34848484848484845,6600.0,70.0,0.0,AGRICOLA
12.0,225.0,3.9473684210526314,5700.0,70.0,0.0,AGRICOLA
1.0,0.0,0.5416666666666667,7200.0,70.0,0.0,AGRICOLA
5.0,0.0,0.24,7500.0,70.0,0.0,AGRICOLA
9.0,0.0,0.5128205128205128,7800.0,70.0,0.0,AGRICOLA
3.0,0.0,0.6851851851851852,5400.0,111.5,10800.0,AGRICOLA
4.0,0.0,0.65,6000.0,111.5,10800.0,AGRICOLA
4.0,133.0,2.015151515151515,6600.0,111.5,10800.0,AGRICOLA
4.0,0.0,0.5614035087719298,5700.0,111.5,10800.0,AGRICOLA
5.0,222.0,3.217391304347826,6900.0,111.5,10800.0,AGRICOLA
6.0,0.0,0.6862745098039216,5100.0,111.5,10800.0,AGRICOLA
8.0,12.0,0.25,4800.0,111.5,10800.0,AGRICOLA
12.0,0.0,0.4166666666666667,7200.0,111.5,10800.0,AGRICOLA
1.0,0.0,0.38461538461538464,7800.0,111.5,10800.0,AGRICOLA
3.0,8.0,0.10666666666666667,7500.0,111.5,10800.0,AGRICOLA
,,,,91.5,0.0,AGRICOLA
,,,,4.416666666666667,0.0,AGRICOLA
,,,,47.666666666666664,0.0,OTRO
2.0,0.0,1.1111111111111112,3600.0,134.25,0.0,AGRICOLA
3.0,0.0,1.0256410256410255,3900.0,134.25,0.0,AGRICOLA
4.0,0.0,0.6470588235294118,5100.0,134.25,0.0,AGRICOLA
5.0,0.0,0.0,3300.0,134.25,0.0,AGRICOLA
5.0,0.0,0.0,5400.0,134.25,0.0,AGRICOLA
6.0,0.0,0.8333333333333334,4200.0,134.25,0.0,AGRICOLA
6.0,0.0,0.0,4500.0,134.25,0.0,AGRICOLA
1.0,0.0,0.0,5700.0,134.25,0.0,AGRICOLA
2.0,0.0,0.0,6000.0,134.25,0.0,AGRICOLA
5.0,0.0,0.0,6300.0,134.25,0.0,AGRICOLA
8.0,0.0,0.0,6900.0,134.25,0.0,AGRICOLA
9.0,0.0,0.0,7200.0,134.25,0.0,AGRICOLA
11.0,0.0,0.0,6600.0,134.25,0.0,AGRICOLA
11.0,0.0,0.5333333333333333,7500.0,134.25,0.0,AGRICOLA
,,,,0.0,0.0,AGRICOLA
,,,,8.125,0.0,AGRICOLA
1.0,1017.0,56.49999999999999,1800.0,165.83333333333334,2100.0,AGRICOLA
4.0,215.0,5.972222222222222,3600.0,165.83333333333334,2100.0,AGRICOLA
4.0,507.0,21.125,2400.0,165.83333333333334,2100.0,AGRICOLA
5.0,127.0,3.0238095238095237,4200.0,165.83333333333334,2100.0,AGRICOLA
5.0,207.0,7.666666666666666,2700.0,165.83333333333334,2100.0,AGRICOLA
6.0,79.0,2.393939393939394,3300.0,165.83333333333334,2100.0,AGRICOLA
6.0,0.0,0.4333333333333333,3000.0,165.83333333333334,2100.0,AGRICOLA
11.0,618.0,29.428571428571427,2100.0,165.83333333333334,2100.0,AGRICOLA
12.0,0.0,0.8888888888888888,4500.0,165.83333333333334,2100.0,AGRICOLA
1.0,0.0,0.6842105263157895,5700.0,165.83333333333334,2100.0,AGRICOLA
1.0,0.0,0.7916666666666667,4800.0,165.83333333333334,2100.0,AGRICOLA
3.0,105.0,2.0588235294117645,5100.0,165.83333333333334,2100.0,AGRICOLA
4.0,0.0,0.1111111111111111,5400.0,165.83333333333334,2100.0,AGRICOLA
6.0,0.0,0.6060606060606061,6600.0,165.83333333333334,2100.0,AGRICOLA
6.0,0.0,0.5797101449275363,6900.0,165.83333333333334,2100.0,AGRICOLA
